,"en","de","es","fr","ko","pl","pt","ru","zh","ja"
"LowDensity","Low Density","Geringe Dichte","Densidad baja","Faible densité","저밀도","Niskie zagęszczenie","Baixa densidade","Низкая плотность","低密度","低密度"
"HighDensity","High Density","Hohe Dichte","Densidad alta","Haute densité","고밀도","Wysokie zagęszczenie","Alta densidade","Высокая плотность","高密度","高密度"
"SelfSufficient","Self-Sufficient","Selbstversorgende","Autosuficientes","Autosuffisant","자급자족","Samowystarczalne","Autossuficientes","Самодостаточный","自给自足","自給自足"
"SpecializedTotal","Specialized Total","Spezialisierte Summe","Total especializado","Total spécialisé","전문화 합계","Specjalizacja Całkowity","Total Especializado","Итого от специализации","专业化总计","特化の合計"
"Leisure","Leisure","Freizeit","Ocio","Loisirs","레저","Rozrywka","Lazer","Отдых","闲暇","余暇"
"OrganicAndLocalProduce","Organic and Local Produce","Biologische und lokale Herstellung","Productos ecológicos y locales","Production locale et biologique","유기농 및 지역 생산품","Produkty ekologiczne i lokalne","Produtos orgânicos e locais","Натуральные и местные продукты","当地有机产品生产","有機と地元の農産物"
"Generic","Generic","Generisch","Genérico","Générique","비특이적","Rodzajowy","Genérico","родовой","通用的","ジェネリック"
"ITCluster","IT Cluster","IT-Cluster","Grupo de TI","Vallée informatique","IT 클러스터","Klaster IT","Cluster de TI","Центр информационных технологий","信息产业区","ITクラスター"
"CommercialZones","Commercial Zones","Gewerbegebiete","Zonas comerciales","Zones commerciales","상업 지역","Rejony handlowe","Zonas comerciais","Коммерческие зоны","商业区","商業地区"
"Roads","Roads","Straßen","Carreteras","Routes","도로","Ulica","Estradas","Дороги","道路","道路"
"WaterSewage","Water and Sewage","Wasser und Abwasser","Agua y alcantarillado","Eau & Eaux usées","물 공급 및 배수","Woda i ścieki","Água e esgoto","Вода и канализация","自来水与污水","上下水道"
"WaterSewageHeating","Water, Sewage, and Heating","Wasser, Abwasser und Heizung","Agua, alcantarillado y calefacción","Eau, eaux usées et chauffage","물및하수, 난방","Woda, ścieki i ogrzewanie","Água, esgoto e aquecimento","Вода, канализация и отопление","供水，污水处理与供暖","水・下水・および暖房"
"Fire","Fire","Feuer","Incendio","Feu","화재","Pożar","Incêndio","Пожар","火","消防"
"Emergency","Emergency","Notfall","Emergencia","Urgence","비상","Nagły wypadek","Emergência","Скорая медицинская помощь","紧急情","緊急"
"Police","Police","Polizei","Policía","Police","경찰","Policja","Polícia","Полиция","警察","警察"
"ParksPlazasLandscaping","Parks, Plazas, and Landscaping","Parks, Plätze & Landschaftsbau","Parques, plazas y paisajismo","Parcs, places et Aménagement paysager","공원, 광장 및 조경","Parki, place i krajobrazu","Parques, praças e paisagismo","Парки, площади и озеленение","公园、广场和园林绿化","公園・広場・修景"
"UniqueBuildings","Unique Buildings","Einzigartige Gebäude","Edificios especiales","Bâtiments uniques","고유 건물","Budynki unikalne","Construções únicas","Уникальные сооружения","独特建筑","ユニーク施設"
"GenericSportsArenas","Generic Sports Arenas","Generische Sportarenen","Arenas deportivas genéricas","Arènes sportives génériques","일반 스포츠 경기장","Ogólne areny sportowe","Arenas Esportivas Genéricas","Общие спортивные арены","一般运动场","一般の競技施設"
"Loans","Loans","Darlehen","Préstamos","Prêts","대출","Pożyczki","Empréstimos","Кредиты","贷款","融資"
"Policies","Policies","Richtlinien","Políticas","Politiques","정책","Zasady","Políticas","Правила","政策","条例"
"CityPark","City Park","Stadtpark","Parque de la ciudad","Parc de la ville","도심 공원","Park miejski","Parque municipal","Городской парк","城市公园","都市公園"
"AmusementPark","Amusement Park","Freizeitpark","Parque de atracciones","Parc d'attractions","놀이공원","Park rozrywki","Parque de diversões","Парк развлечений","游乐园","遊園地"
"Zoo","Zoo","Zoo","Zoo","Zoo","동물원","Zoo","Zoológico","Зоопарк","动物园","動物園"
"NatureReserve","Nature Reserve","Naturschutzgebiet","Reserva natural","Réserve naturelle","자연보호구역","Rezerwat przyrody","Reserva natural","Природный парк","自然保护区","自然公園"
"WarehousesAndFactories","Warehouses and Unique Factories","Lagerhäuser und Einzigartige Fabriken","Almacenes y Fábricas Únicas","Entrepôts et usines uniques","창고 및 특수 공장","Magazyny i unikalne fabryki","Armazéns e fábricas únicas","Склады и уникальные фабрики","仓库和独特工厂","倉庫・ユニーク工場"
"Fishing","Fishing","Angeln","Pesca","Faire de la pêche","어업","Wędkarstwo","Pescaria","Рыбная ловля","钓鱼","漁業"
"TradeSchool","Trade School","Berufsschule","Escuela de oficios","École multidisciplinaire","기술대학","Politechnika","Faculdade de Comércio","Профучилище","专科学院","専門職大学"
"LiberalArtsCollege","Liberal Arts College","Geisteswissenschaftliche Universität","Universidad de artes liberales","Université d'arts libéraux","인문대학","Wyższa szkoła humanistyczna","Faculdade de Humanas","Гуманитарный институт","文科学院","リベラルアーツ大学"
"TollBooth","Toll Booth","Mautstelle","Cabina de peaje","Poste de péage","요금소","Punkt poboru opłat","Cabine de Pedágio","Платная дорога","收费路","料金所"
"SpaceElevator","Space Elevator","Weltraumlift","Ascensor espacial","Ascenseur de l'espace","우주엘리베이터","Kosmiczna Winda","Elevador espacial","Космический лифт","太空电梯","軌道エレベーター"
"Buildings","Buildings","Gebäuden","Edificios","Immeubles","건물","Budynki","Edifícios","Здания","建筑物","建物"
"Citizens","Citizens","Bürgeren","Los ciudadanos","Citoyens","시민","Obywatele","Cidadãos","Граждане","公民","市民"
"CitizenUnits","Citizen Units","Bürgereinheiten","Unidades Ciudadanas","Unités citoyennes","시민 단위","Jednostki obywatel","Unidades do cidadão","Граждане единицы","公民单位","市民ユニット"
"CitizenInstances","Citizen Instances","Bürger instanzen","Instancias ciudadanas","Instances citoyennes","시민 인스턴스","Instancje obywatel","Instâncias do cidadão","Граждане экземпляры","公民实例","シチズンインスタンス"
"Disasters","Disasters","Katastrophen","Desastres","Catastrophes","재해","Katastrofy","Desastres","Катастрофы","灾害","災害"
"Districts","Districts","Bezirke","Distritos","Les quartiers","지구","Dzielnice","Distritos","Районы","地区","地区"
"Events","Events","Veranstaltungen","Eventos","Événements","이벤트","Wydarzenia","Eventos","События","活动","イベント"
"GameAreas","Game Areas","Spiel bereiche","Áreas del juego","Aires de jeu","게임 영역","Obszary gry","Áreas del jogo","Игровые зоны","游戏区","エリアのタイル"
"NetworkLanes","Network Lanes","Netzwerkspuren","Carriles de red","Voies du réseau","네트워크 레인","Pasy sieciowe","Vias de rede","Сетевые дорожки","网络通道","ネットワークレーン"
"NetworkNodes","Network Nodes","Netzwerkknoten","Nodos de red","Nœuds de réseau","네트워크 노드","Węzły sieciowe","Nós de Rede","Сетевые узлы","网络节点","ネットワークノード"
"NetworkSegments","Network Segments","Netzwerksegmente","Segmentos de red","Segments de réseau","네트워크 세그먼트","Segmenty sieci","Segmentos de rede","Сегменты сети","网段","ネットワークセグメント"
"PaintedAreas","Painted Areas","Bemalte Bereiche","Áreas pintadas","Zones peintes","칠해진 영역","Malowane obszary","Áreas Pintadas","Окрашенные области","涂漆区域","塗装エリア"
"PathUnits","Path Units","Pfadeinheiten","Unidades de ruta","Unités de chemin","경로 단위","Jednostki ścieżki","Unidades de caminho","Единицы пути","路径单位","パスユニット"
"Props","Props","Requisiten","Accesorios","Accessoires","소품","Rekwizyty","Adereços","Реквизит","道具","小道具"
"RadioChannels","Radio Channels","Radiokanäle","Canales de radio","Chaînes de radio","라디오 채널","Kanały radiowe","Canais de Rádio","Радиоканалы","无线电频道","ラジオチャンネル"
"RadioContents","Radio Contents","Radio-Inhalte","Contenidos de radio","Contenu radiophonique","라디오 콘텐츠","Treści radiowe","Conteúdo de rádio","Радио содержание","电台内容","ラジオコンテンツ"
"TransportLines","Transport Lines","Transportlinien","Líneas de transporte","Lignes de transport","수송선","Linie transportowe","Linhas de Transporte","Транспортные линии","运输线路","輸送ライン"
"Trees","Trees","Bäume","Árboles","Des arbres","나무","Drzewa","Arvores","Деревья","树木","ツリー"
"Vehicles","Vehicles","Fahrzeugen","Vehículos","Véhicules","차량","Pojazdy","Veículos","Транспортные средства","车辆","車両"
"VehiclesParked","Vehicles Parked","Geparkte Fahrzeuge","Vehículos estacionados","Véhicules garés","주차된 차량","Zaparkowane pojazdy","Veículos Estacionados","Припаркованные автомобили","停放的车辆","駐車車両"
"ZoneBlocks","Zone Blocks","Zonenblöcke","Bloques de zona","Blocs de zone","구역 블록","Bloki stref","Blocos de Zona","Блоки зон","区域块","ゾーンブロック"
,,,,,,,,,,
"# statistic units",,,,,,,,,,
"PctOfProduction","% of Production","% der Produktions","% de Producción","% de la Production","생산량의 %","% Produkcji","% do Produção","% производства","生产百分比","生産の％"
"MegaWatts","MW","MW","MW","MW","MW","MW","MW","МВт","兆瓦","メガワット"
"PctOfPumpingCapacity","% of Pumping Capacity","% der Pumpkapazität","% de Capacidad de bombeo","% de la Capacité de pompage","펌핑 용량의 %","% wydajności pompowania","% do Capacidade de bombeamento","% от Насосная мощность","泵送能力百分比","ポンプ能力の％"
"CubicMetersPerWeek","m³/20min","m³/Woche","m³/semana","m³/semaine","m³/주","m³/tydzień","m³/semana","м³/нед.","立方米/周","㎥/週"
"PctOfStorageCapacity","% of Storage Capacity","% der Lagerkapazität","% de Capacidad de almacenamiento","% de la Capacité de stockage","스토리지 용량의 %","% pojemności magazynu","% do Capacidade de armazenamento","% от емкости хранилища","存储容量百分比","ストレージ容量の％"
"CubicMeters","m³","m³","m³","m³","m³","m³","m³","м³","立方米","㎥"
"PctOfDrainingCapacity","% of Draining Capacity","% der Entleerungskapazität","% de Capacidad desagüe","% de la Capacité de vidange","배수 용량의 %","% wydajności drenażu","% do Capacidade de Drenagem","% от Емкость слива","排水能力百分比","排水能力の％"
"PctOfCapacity","% of Capacity","% der Kapazität","% de Capacidad","% de la Capacité","용량의 %","% pojemności","% do Capacidade","% от Емкость","容量百分比","容量の％"
"Units","units","Einheiten","unidades","unités","유닛","jednostek","unidades","ед.","单元","ユニット"
"PctOfProcessingCapacity","% of Processing Capacity","% der Verarbeitungskapazität","% de Capacidad de procesamiento","% de la Capacité de traitement","처리 용량 %","% mocy przerobowej","% do Capacidade de processamento","% от макс. объем обработки","处理能力百分比","処理能力の％"
"UnitsPerWeek","units/20min","Einheiten/Woche","unidades/semana","unités/semaine","유닛/주","jednostek/tydzień","unidades/semana","ед./неделю","单元/周","ユニット/週"
"Students","students","Studenten","Estudiantes","Étudiants","학생","Studenci","Alunos","Студенты","学生","学生"
"Visitors","visitors","Besucher","Visitantes","Visiteurs","방문객","Odwiedzający","Visitantes","Посетители","访客","訪問者"
"PctOfPopulation","% of Population","% der Bevölkerung","% de Población","% de la Population","인구의 %","% ludności","% do População","% от Население","人口百分比","人口の％"
"Percent","%","%","%","%","%","%","%","%","百分","%"
"PctOfHealCapacity","% of Heal Capacity","% der Heilungskapazität","% de Capacidad de curación","% de la Capacité de soin","진료 수용 %","% zdolności leczniczej","% da Capacidade de cura","% от Доступно коек","医疗床位百分比","病院容量の％"
"CitizensPerWeek","citizens/20min","Bürger/Woche","Ciudadanos/semana","Habitants/semaine","시민/주","Mieszkańcy/tydzień","Habitantes/semana","Горожане/нед.","市民/周","市民/週"
"PctOfChildrenTeens","% of Children+Teens","% der Kinder und Jugendliche","% de Niños y adolescentes","% de la Enfants et adolescents","어린이 및 청소년의 %","% dzieci i młodzieży","% de Crianças e adolescentes","% от Детей и подростков","儿童和青少年百分比","子供+10代の割合"
"PctOfSeniors","% of Seniors","% der Senioren","% de Ancianos","% de la Séniors","노인의 %","% seniorów","% do Idosos","% от Пожилые","老年人百分比","高齢者の割合"
"Years","years","Jahre","Años","Années","년","Lata","Anos","год","年","年"
"Level1To5","level 1-5","Niveau 1-5","Nivel 1-5","Niveau 1-5","레벨 1-5","Poziom 1-5","Nível 1-5","Уровень 1-5","等级 1-5","レベル 1～5"
"Level1To3","level 1-3","Niveau 1-3","Nivel 1-3","Niveau 1-3","레벨 1-3","Poziom 1-3","Nível 1-3","Уровень 1-3","等级 1-3","レベル 1～3"
"PctOfResidential","% of Residential","% der Wohn","% de Residencial","% de la Résidentiel","주거의 %","% mieszkaniowych","% de Residencial","% от Жилой","住宅百分比","住宅の％"
"PctOfCommercial","% of Commercial","% der Gewerblich","% de Comercial","% de la Commercial","사업의 %","% biznesu","% de Comercial","% от Коммерческий","商业的百分比","コマーシャルの％"
"PctOfIndustrial","% of Industrial","% der Industriell","% de Industrial","% de la Industriel","산업의 %","% przemysłu","% de Industrial","% от Промышленные","工业百分比","産業の％"
"PctOfOffice","% of Office","% des Büro","% de Oficina","% de la Bureaux","사무실의 %","% biur","% de Escritório","% от Деловая","办公室百分比","オフィスの％"
"PctOfJailsCapacity","% of Jails Capacity","% der Gefängniskapazität","% de Capacidad de las cárceles","% de la Capacité prisons","교도소 수용 인원의 %","% pojemności więzienia","% da Capacidade das prisões","% от Доступно мест в тюрьмах","监狱容量百分比","刑務所容量の％"
"TotalPerWeek","total/20min","Gesamt/Woche","Total/semana","Total/semaine","총/주","Łącznie/tydzień","Total/semana","Всего/нед.","总计/周","合計/週"
"ResidentsPerWeek","residents/20min","Einwohner/Woche","Residentes/semana","Résidents/semaine","주민/주","Mieszkańcy/tydzień","Moradores/semana","Местные жители/нед.","居民/周","居住者/週"
"TouristsPerWeek","tourists/20min","Touristen/Woche","Turistas/semana","Touristes/semaine","관광객/주","Turyści/tydzień","Turistas/semana","Туристы/нед.","游客/周","観光客/週"
"PctOfAvailable","% of Available","% der Verfügbar","% de Disponible","% de Disponible","사용 가능 %","% Dostępne","% de Disponíveis","% от Доступно","可用的百分比","利用可能な％"
"Squares","squares","quadrate","cuadrados","carrés","사각형","kwadraty","quadrados","квадраты","正方形","正方形"
"Jobs","jobs","arbeitsplätze","empleos","emplois","직업","miejsca pracy","empregos","рабочие места","工作场所","仕事"
"HouseholdsPlusJobs","households+jobs","Haushalte+arbeitsplätze","Familias+empleos","Ménages+emplois","가구수+직업","Gospodarstwa+miejsca pracy","Residências+empregos","Семей+рабочие места","家庭数+工作场所","世帯+仕事"
"PctOfEligible","% of Eligible","% der Berechtigt","% de Elegibles","% de la Éligible","자격이있는 %","% Uprawnieni","% do Elegível","% от Отвечающих требованиям","符合条件的百分比","適格の％"
"PctOfForestAvailable","% of Forest-Available","% der Wald-Verfügbar","% de Bosques-Disponible","% de la Forêt-Disponible","숲-사용 가능 %","% dostępnego lasu","% de Floresta-Disponíveis","% доступного леса","森林-可用的百分比","森林の％-利用可能"
"PctOfFertileLandAvailable","% of Fertile Land-Available","% der Fruchtbares Land-Verfügbar","% de Tierra fértil-Disponible","% de la Terres fertiles-Disponible","비옥한 땅-사용 가능 %","% żyznej gleby dostępne","% da Terra fértil-Disponíveis","% от Плодородные земли-Доступно","沃土-可用的百分比","肥沃な土地の％-利用可能"
"PctPerWeekOfOreAvailable","%/20min of Ore-Available","%/Woche der Erz-Verfügbar","%/semana de Minerales-Disponible","%/semaine de la Minerai-Disponible","광석-사용 가능 %/주","%/tydzień rudy dostępnej","%/semana de Minério-Disponíveis","%/нед. от Горнорудная-Доступно","矿业-可用的百分比/周","鉱石の％/週-利用可能"
"PctPerWeekOfOilAvailable","%/20min of Oil-Available","%/Woche der Öl-Verfügbar","%/semana de Crudo-Disponible","%/semaine de la Pétrole-Disponible","석유-사용 가능 %/주","%/tydzień dostępności oleju","%/semana de Petróleo-Disponíveis","%/нед. от Нефтяная-Доступно","石化-可用的百分比/周","％/週の石油-利用可能"
"PctOfTotal","% of Total","% der Gesamtmenge","% de Total","% de la Total","총계의 %","% całości","% da Total","% от общей суммы","总计百分比","合計の％"
"Hectare","ha","ha","ha","ha","ha","ha","ha","га","公顷","ヘクタール"
"PctOfCityIncome","% of City Income","% des Stadteinkommens","% de los ingresos de la ciudad","% du revenu de la ville","시 소득의 %","% dochodu miasta","% da renda da cidade","% городского дохода","占城市收入的百分比","市の収入の％"
"PctOfCityExpenses","% of City Expenses","% der Stadtausgaben","% de gastos de la ciudad","% des dépenses de la ville","도시 비용의 %","% wydatków miasta","% das despesas da cidade","% городских расходов","占城市费用的百分比","市の経費の％"
"MoneyPerSquareMeter","₡/m²","₡/m²","₡/m²","₡/m²","₡/m²","₡/m²","₡/m²","₡/м²","₡/平方米","₡/㎡"
"MoneyPerWeek","₡/20min","₡/Woche","₡/semana","₡/semaine","₡/주","₡/tydzień","₡/semana","₡/нед.","₡/周","₡/週"
"MoneyPerCapita","₡/capita","₡/Kopf","₡/cápita","₡/habitant","₡/1인당","₡/mieszkańca","₡/capita","₡/душу населения","₡/人","₡/人"
"MoneyPerWeekPerCapita","₡/20min/capita","₡/Woche/Kopf","₡/semana/cápita","₡/semaine/habitant","₡/주/1인당","₡/tydzień/mieszkańca","₡/semana/capita","₡/неделя/душу населения","₡/周/人","₡/週/人"
"PctOfGrossDomesticProduct","% of Gross Domestic Product","% des Bruttoinlandsprodukts","% del Producto Interno Bruto","% du produit intérieur brut","국내총생산(GDP) 대비 %","% Produktu Krajowego Brutto","% do Produto Interno Bruto","% валового внутреннего продукта","占国内生产总值百分比","国内総生産の％"
"Money","₡","₡","₡","₡","₡","₡","₡","₡","₡","₡"
"Amount","amount","quantität","cantidad","montant","분량","ilość","quantia","количество","数量","数量"
